"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000091527",2814.15907315816,-1.81023338580365,0.0499749036408285,-36.2228489486216,2.65989476459034e-287,1.18792512244038e-284,"CDV3","55573","CDV3 homolog"
"ENSG00000033867",3157.52042924196,1.93501315031312,0.0535351853326521,36.1446988235775,4.50696710945371e-286,1.95363768409202e-283,"SLC4A7","9497","solute carrier family 4 member 7"
"ENSG00000117724",1324.17284690485,-2.82511200633723,0.078171512324915,-36.1399175008261,5.35785964903953e-286,2.21232325974835e-283,"CENPF","1063","centromere protein F"
"ENSG00000101825",1024.97040543336,3.28766304145182,0.0909710043806542,36.139680592017,5.40396508012896e-286,2.21232325974835e-283,"MXRA5","25878","matrix remodeling associated 5"
"ENSG00000198959",5110.85796803933,-1.74624587691393,0.0487932049211264,-35.7887103283482,1.65488163755747e-280,6.59179610116812e-278,"TGM2","7052","transglutaminase 2"
"ENSG00000164938",1395.92210584831,2.31778202051863,0.0656155298229231,35.3236806404465,2.54308682018872e-273,9.86316146208982e-271,"TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"ENSG00000073712",2356.74691021858,-2.30515285900217,0.0653960011944031,-35.2491408786544,3.53652012683723e-272,1.33644188793146e-269,"FERMT2","10979","fermitin family member 2"
"ENSG00000143799",1043.84682510942,-2.61747584700177,0.0743747830376324,-35.1930552278367,2.55370736956562e-271,9.40913480316453e-269,"PARP1","142","poly(ADP-ribose) polymerase 1"
"ENSG00000196549",1520.30148791169,2.83743506770165,0.0806594359668425,35.1779681284662,4.34411294353812e-271,1.56154967224061e-268,"MME","4311","membrane metalloendopeptidase"
"ENSG00000110002",899.504360793506,4.43907473639558,0.126316443228131,35.1424931145227,1.51369470681488e-270,5.31162680691374e-268,"VWA5A","4013","von Willebrand factor A domain containing 5A"
"ENSG00000088325",1049.74978195443,-3.01204014083288,0.0861136730177405,-34.9774900463525,4.94851816599974e-268,1.69607583094196e-265,"TPX2","22974","TPX2, microtubule nucleation factor"
"ENSG00000133318",1500.97300012898,-2.41401849878477,0.0690680729504813,-34.9512936391828,1.23762291259371e-267,4.14547420131958e-265,"RTN3","10313","reticulon 3"
"ENSG00000154864",1374.01910088605,2.35786042983588,0.0676832768860438,34.8366766255384,6.77562193851605e-266,2.21909146955221e-263,"PIEZO2","63895","piezo type mechanosensitive ion channel component 2"
"ENSG00000197321",4211.22514661471,1.73283927588268,0.0497514637494007,34.829915449544,8.57661221589282e-266,2.7478719747354e-263,"SVIL","6840","supervillin"
"ENSG00000182752",6930.41939676306,2.01487019564245,0.0588365440047056,34.2452166374915,5.13843459840655e-257,1.61128189598544e-254,"PAPPA","5069","pappalysin 1"
"ENSG00000198901",744.768135087352,-3.17652098961119,0.0928701293936024,-34.2039039931608,2.1154668646095e-256,6.49536471887807e-254,"PRC1","9055","protein regulator of cytokinesis 1"
"ENSG00000277443",2830.20102519863,-1.92971757631671,0.0569242462791685,-33.8997475144944,6.71897391198503e-252,2.02090280642521e-249,"MARCKS","4082","myristoylated alanine rich protein kinase C substrate"
"ENSG00000168542",62749.3849250663,1.40989019839901,0.0418063492390818,33.7243080072871,2.54549544717249e-249,7.50310238008562e-247,"COL3A1","1281","collagen type III alpha 1 chain"
"ENSG00000146072",1758.22981855472,2.05910888550453,0.0611321283197635,33.6829248727275,1.02811518586011e-248,2.9710512959228e-246,"TNFRSF21","27242","TNF receptor superfamily member 21"
"ENSG00000145632",3262.15452178144,1.54674961550154,0.0460243826097318,33.6071779303885,1.31771513721174e-247,3.73470878696665e-245,"PLK2","10769","polo like kinase 2"
"ENSG00000140943",1848.88777327798,-1.89361784330791,0.0564684076645725,-33.5341108705627,1.53479242165141e-246,4.26788126609406e-244,"MBTPS1","8720","membrane bound transcription factor peptidase, site 1"
"ENSG00000102024",3591.26703399212,-1.70354659191009,0.0509601094526226,-33.4290214485091,5.19398714483353e-245,1.41757375075105e-242,"PLS3","5358","plastin 3"
"ENSG00000135046",4581.91768778281,-1.46401591141698,0.043932900781273,-33.3239072627099,1.73987809768644e-243,4.66224061885505e-241,"ANXA1","301","annexin A1"
"ENSG00000081923",1549.06690179341,-2.52988619986256,0.0760092147954006,-33.2839407257717,6.59330975402972e-243,1.73521784205161e-240,"ATP8B1","5205","ATPase phospholipid transporting 8B1"
"ENSG00000163346",2917.79069939981,1.81056662198907,0.0547035651526924,33.0977810483703,3.19855382729531e-240,8.27022566783829e-238,"PBXIP1","57326","PBX homeobox interacting protein 1"
"ENSG00000187678",2363.67043987816,1.724154831861,0.0522701784865171,32.9854399159119,1.31370885657369e-238,3.33817950485914e-236,"SPRY4","81848","sprouty RTK signaling antagonist 4"
"ENSG00000163017",4893.9021785664,-1.87095249162296,0.0567964586464656,-32.9413582503244,5.62527986952823e-238,1.40517584266283e-235,"ACTG2","72","actin, gamma 2, smooth muscle, enteric"
"ENSG00000152894",4900.8667898464,1.6861475469469,0.0515037601006688,32.7383387863561,4.44960167160428e-235,1.09297049060173e-232,"PTPRK","5796","protein tyrosine phosphatase, receptor type K"
"ENSG00000143341",2279.33849385387,2.05720946154363,0.0629925121360378,32.6580000032529,6.16947061032235e-234,1.49058455499887e-231,"HMCN1","83872","hemicentin 1"
"ENSG00000115461",200904.539632615,1.27117471085503,0.0389873671070951,32.6047847079084,3.50834660761722e-233,8.33967940371977e-231,"IGFBP5","3488","insulin like growth factor binding protein 5"
"ENSG00000104321",7567.20986030083,3.29744633697211,0.101231296318792,32.5733884369905,9.76966579470629e-233,2.28548149972034e-230,"TRPA1","8989","transient receptor potential cation channel subfamily A member 1"
"ENSG00000113721",11145.9451572206,1.38865862866062,0.0428974827888398,32.371564445779,6.89954383444021e-230,1.58883557862468e-227,"PDGFRB","5159","platelet derived growth factor receptor beta"
"ENSG00000164924",9585.69435022083,-1.33707455466617,0.0417126487365002,-32.0544150315773,1.90539100857362e-225,4.320254259132e-223,"YWHAZ","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta"
"ENSG00000173334",1074.47707273372,2.41256199111185,0.0759164047808335,31.7791918370843,1.25507812040004e-221,2.80262747552361e-219,"TRIB1","10221","tribbles pseudokinase 1"
"ENSG00000160014",4226.55595021453,-1.4246113095082,0.0449230274780296,-31.7122729585608,1.05243374823366e-220,2.31504008678623e-218,"CALM3","808","calmodulin 3"
"ENSG00000148175",3890.72249473237,1.38275935254453,0.0437425186059072,31.6113337003371,2.57956532374164e-219,5.59082849136828e-217,"STOM","2040","stomatin"
"ENSG00000171951",793.124579134864,2.98016310499178,0.0943819978865089,31.5755458850885,7.99976042675652e-219,1.70870245173243e-216,"SCG2","7857","secretogranin II"
"ENSG00000153234",635.93920101828,4.3264077758833,0.137032426835228,31.572145920509,8.90728089394556e-219,1.87536436878528e-216,"NR4A2","4929","nuclear receptor subfamily 4 group A member 2"
"ENSG00000164761",5291.78842553364,1.48922391533585,0.0474102574950052,31.4114285393355,1.41267427004157e-216,2.93239343547503e-214,"TNFRSF11B","4982","TNF receptor superfamily member 11b"
"ENSG00000134057",780.375869741297,-2.66975909686207,0.0850915122990377,-31.3751515836234,4.41713271050078e-216,9.04162526213339e-214,"CCNB1","891","cyclin B1"
"ENSG00000135074",13374.6004179129,1.14188898914826,0.0363987416493516,31.3716611455607,4.92886500303618e-216,9.95090581023935e-214,"ADAM19","8728","ADAM metallopeptidase domain 19"
"ENSG00000128591",23487.8410667789,-1.33084139991966,0.0432786272789433,-30.7505455600984,1.2024177083282e-207,2.39476110612717e-205,"FLNC","2318","filamin C"
"ENSG00000127920",2352.92723869813,2.10488854239112,0.0685910543640539,30.6875081875723,8.35473767962036e-207,1.6417616522966e-204,"GNG11","2791","G protein subunit gamma 11"
"ENSG00000105088",793.128211520276,2.86562585504133,0.0934444345094781,30.6666295331978,1.58632297826298e-206,3.07621421758419e-204,"OLFM2","93145","olfactomedin 2"
"ENSG00000092820",1475.49048809515,-1.91025660582484,0.0625712952855277,-30.5292801932242,1.06538557345252e-204,2.03917565994069e-202,"EZR","7430","ezrin"
"ENSG00000183287",603.48721362449,-3.43610918567845,0.112997108558187,-30.4088239913596,4.19915325787284e-203,7.93424624545255e-201,"CCBE1","147372","collagen and calcium binding EGF domains 1"
"ENSG00000130513",4665.52215751242,4.22670314152856,0.139333107448276,30.3352391899938,3.93391564267365e-202,7.33899351161067e-200,"GDF15","9518","growth differentiation factor 15"
"ENSG00000171246",11339.2021259297,1.74021926020966,0.0574719547345398,30.2794513993416,2.13756379559902e-201,3.9379269024423e-199,"NPTX1","4884","neuronal pentraxin 1"
"ENSG00000076513",2351.57847713981,-1.94451433589107,0.0645262748633761,-30.1352331280282,1.67482912260677e-199,3.0473619270344e-197,"ANKRD13A","88455","ankyrin repeat domain 13A"
"ENSG00000176014",5059.66070673934,-1.58287883732761,0.0526625752397305,-30.056996455681,1.76886796834257e-198,3.17921659968693e-196,"TUBB6","84617","tubulin beta 6 class V"
"ENSG00000068489",527.868372422254,-3.28311258388406,0.109401846876385,-30.0096632517887,7.34108057534936e-198,1.30352825927107e-195,"PRR11","55771","proline rich 11"
"ENSG00000089159",2841.04018824034,-1.52007282822685,0.0507616649259625,-29.9452910073759,5.06706139249496e-197,8.89027985745127e-195,"PXN","5829","paxillin"
"ENSG00000112984",587.875352632019,-3.36365679984129,0.112773759767565,-29.8265909265952,1.76653039558416e-195,3.06295587883758e-193,"KIF20A","10112","kinesin family member 20A"
"ENSG00000003436",3855.53263789867,1.53740403926743,0.051564923809874,29.8149192450284,2.50294057588861e-195,4.28934165202864e-193,"TFPI","7035","tissue factor pathway inhibitor"
"ENSG00000116729",14027.992136521,1.67569487585248,0.0564166016765705,29.7021590463572,7.2011492420469e-194,1.21909612701106e-191,"WLS","79971","wntless Wnt ligand secretion mediator"
"ENSG00000171617",3172.76514957676,1.72304030582997,0.0580113158598316,29.701796628665,7.27917350909033e-194,1.21909612701106e-191,"ENC1","8507","ectodermal-neural cortex 1"
"ENSG00000173546",2782.7113944163,-1.70836053254019,0.057594130221937,-29.662059761248,2.37081745552003e-193,3.92596715274766e-191,"CSPG4","1464","chondroitin sulfate proteoglycan 4"
"ENSG00000122641",8425.96553258608,1.39132775322491,0.0469878378475568,29.6103804081986,1.09852705741172e-192,1.79889908579267e-190,"INHBA","3624","inhibin beta A subunit"
"ENSG00000133818",917.65645300902,-2.5802299482718,0.0872303205753005,-29.5795078047941,2.7419902326848e-192,4.44081890651743e-190,"RRAS2","22800","RAS related 2"
"ENSG00000111615",1215.27891511062,1.95677043084517,0.0663760817828299,29.4800533307668,5.18789476102239e-191,8.31078184651608e-189,"KRR1","11103","KRR1, small subunit processome component homolog"
"ENSG00000064666",5624.42477846777,-1.64273183328666,0.0557716988894404,-29.4545776083162,1.09999606250595e-190,1.74319806120566e-188,"CNN2","1265","calponin 2"
"ENSG00000134250",3989.90689953644,-1.355927761022,0.0460501465042372,-29.4445916886983,1.47657629405705e-190,2.31508312998009e-188,"NOTCH2","4853","notch 2"
"ENSG00000066279",593.333577786577,-3.10048884487825,0.105364404313389,-29.4263405661779,2.52837045763737e-190,3.922434084701e-188,"ASPM","259266","abnormal spindle microtubule assembly"
"ENSG00000116991",845.465812777274,2.42014865384511,0.0824494804170427,29.3531098268129,2.18083361826376e-189,3.34803394437201e-187,"SIPA1L2","57568","signal induced proliferation associated 1 like 2"
"ENSG00000156011",1865.6956706154,1.74119412408018,0.0593370026669273,29.3441536616521,2.83732824536702e-189,4.31098388455868e-187,"PSD3","23362","pleckstrin and Sec7 domain containing 3"
"ENSG00000159399",1648.34458773227,1.92240040796665,0.0659490996139859,29.1497597271057,8.41280425700437e-187,1.26518274632378e-184,"HK2","3099","hexokinase 2"
"ENSG00000157557",2128.88768598769,1.84664194735371,0.0635784344173016,29.0450994001069,1.77450164117118e-185,2.64167729167483e-183,"ETS2","2114","ETS proto-oncogene 2, transcription factor"
"ENSG00000103257",3712.52147667185,-1.50764330927775,0.0520551639711901,-28.962415911554,1.95797433953105e-184,2.88566258160085e-182,"SLC7A5","8140","solute carrier family 7 member 5"
"ENSG00000065911",1563.07540926849,-1.94825249993455,0.0673374981672276,-28.9326534688921,4.63893814441562e-184,6.76917528439578e-182,"MTHFD2","10797","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"ENSG00000136153",4620.22110366109,-1.40313136365438,0.0486375334145684,-28.8487360511194,5.25526607756478e-183,7.59334425991665e-181,"LMO7","4008","LIM domain 7"
"ENSG00000135318",10396.875971113,-1.18098787421725,0.0409964049824839,-28.8071082018493,1.74740267124523e-182,2.50031267658371e-180,"NT5E","4907","5'-nucleotidase ecto"
"ENSG00000171444",1285.81453923875,1.85633936533433,0.0644924719269932,28.7838147595853,3.42014485401016e-182,4.84673989023093e-180,"MCC","4163","mutated in colorectal cancers"
"ENSG00000145147",601.510428483162,-2.68630819024851,0.0934361684563694,-28.7501963600199,9.00652603362288e-182,1.26417314936699e-179,"SLIT2","9353","slit guidance ligand 2"
"ENSG00000182481",2566.38058699848,-1.6137581642457,0.0561603405358638,-28.734835808468,1.40129718678833e-181,1.94833188102703e-179,"KPNA2","3838","karyopherin subunit alpha 2"
"ENSG00000108829",3850.57518186778,-1.47517609589667,0.051345766514116,-28.7302380711584,1.59945454199213e-181,2.20306177942804e-179,"LRRC59","55379","leucine rich repeat containing 59"
"ENSG00000088448",1041.5088322989,2.36777272035414,0.082439128527672,28.7214671314649,2.05838146565627e-181,2.80892833711501e-179,"ANKRD10","55608","ankyrin repeat domain 10"
"ENSG00000108932",593.620514665934,3.86329422852057,0.135042980927158,28.6078861855428,5.36045464689408e-180,7.24792482439679e-178,"SLC16A6","9120","solute carrier family 16 member 6"
"ENSG00000100345",41759.3349472728,-1.22519578049955,0.0428453775041543,-28.595751790978,7.58777023955032e-180,1.01662325264084e-177,"MYH9","4627","myosin heavy chain 9"
"ENSG00000171848",822.67379311788,-2.53280647595275,0.0890287129053382,-28.4493214975017,4.96817371090871e-178,6.59648145507861e-176,"RRM2","6241","ribonucleotide reductase regulatory subunit M2"
"ENSG00000038427",13753.9971136825,1.28379347826725,0.0451331152064867,28.4446015391097,5.68303998690794e-178,7.47827172562939e-176,"VCAN","1462","versican"
"ENSG00000141429",3588.58297366052,1.50607086818282,0.0530931794437988,28.3665601487863,5.23021746487801e-177,6.82149955728957e-175,"GALNT1","2589","polypeptide N-acetylgalactosaminyltransferase 1"
"ENSG00000155903",1023.35613415789,2.0508915834993,0.0724505362923311,28.3074727732056,2.79632961075837e-176,3.61511454415411e-174,"RASA2","5922","RAS p21 protein activator 2"
"ENSG00000091039",4444.70184434491,1.5725779271562,0.0556189560124838,28.2741360122479,7.1893942658312e-176,9.21367762520176e-174,"OSBPL8","114882","oxysterol binding protein like 8"
"ENSG00000147065",17820.4971549208,-1.03012530641843,0.0365228235969057,-28.2049744507077,5.08124629424628e-175,6.45581102453463e-173,"MSN","4478","moesin"
"ENSG00000117399",548.054729960495,-3.23340373487131,0.114651722391968,-28.2019638904075,5.53212100513817e-175,6.96858114305353e-173,"CDC20","991","cell division cycle 20"
"ENSG00000135926",1251.33626199858,-1.85342990575564,0.0659124220582527,-28.119584258603,5.64504628578446e-174,7.05056713219419e-172,"TMBIM1","64114","transmembrane BAX inhibitor motif containing 1"
"ENSG00000173801",2853.13714423843,1.54852031438864,0.0552347205996657,28.0352701629853,6.04064945733549e-173,7.48126821026978e-171,"JUP","3728","junction plakoglobin"
"ENSG00000163661",1909.80217231797,-1.64964804944213,0.0590533750862051,-27.934864807202,1.00679369517776e-171,1.23651045662749e-169,"PTX3","5806","pentraxin 3"
"ENSG00000185112",747.773002441521,2.65534841455275,0.0952230072975291,27.8855760799066,3.99159713617631e-171,4.86183128867491e-169,"FAM43A","131583","family with sequence similarity 43 member A"
"ENSG00000103449",1051.52143130918,2.35381530128696,0.0844340386495875,27.8775638229933,4.99217841217327e-171,6.03071519988603e-169,"SALL1","6299","spalt like transcription factor 1"
"ENSG00000170759",4331.58598921615,-1.28570159440597,0.0461355805168596,-27.8678967513182,6.53822677484488e-171,7.83417774046047e-169,"KIF5B","3799","kinesin family member 5B"
"ENSG00000057657",689.791384929011,2.83420145492306,0.101922369388851,27.8074525927681,3.52496836752462e-170,4.18959546778854e-168,"PRDM1","639","PR/SET domain 1"
"ENSG00000109685",1268.17937848349,-1.89110241750534,0.0682347239710614,-27.7146635532279,4.64848837809472e-169,5.4807537373088e-167,"NSD2","7468","nuclear receptor binding SET domain protein 2"
"ENSG00000172795",852.701537725169,2.13206737934871,0.0770835750211007,27.6591657660544,2.16521307117508e-168,2.5326119240459e-166,"DCP2","167227","decapping mRNA 2"
"ENSG00000184838",1048.67798618006,2.27794331495983,0.0824087401530605,27.6420111596043,3.4815323600713e-168,4.04022235612054e-166,"PRR16","51334","proline rich 16"
"ENSG00000166510",570.336073336896,2.83088461017558,0.102927885129285,27.5035730756518,1.59111426205895e-166,1.83201890579881e-164,"CCDC68","80323","coiled-coil domain containing 68"
"ENSG00000076706",1719.55770882045,-1.57938242124775,0.0575011789933357,-27.4669571806657,4.35864331823279e-166,4.97966552124921e-164,"MCAM","4162","melanoma cell adhesion molecule"
"ENSG00000102225",1340.69055489962,-1.74229970816939,0.0634971552129332,-27.4390199423377,9.39461341641039e-166,1.06506009639274e-163,"CDK16","5127","cyclin dependent kinase 16"
"ENSG00000197565",563.648360733133,3.41302170318486,0.124605048794288,27.3907176010136,3.53782094667363e-165,3.98018359634167e-163,"COL4A6","1288","collagen type IV alpha 6 chain"
"ENSG00000161800",563.923688119321,-2.79230082377186,0.102045844333667,-27.3631997658,7.52227113465085e-165,8.39872969564274e-163,"RACGAP1","29127","Rac GTPase activating protein 1"
"ENSG00000113387",1168.42585268541,-2.03750868088623,0.0744625131650802,-27.3628782360482,7.58883323357227e-165,8.40934016514196e-163,"SUB1","10923","SUB1 homolog, transcriptional regulator"
"ENSG00000166851",502.683929770066,-3.32923741737014,0.121688980179512,-27.3585776827035,8.53777886751998e-165,9.39028245891862e-163,"PLK1","5347","polo like kinase 1"
"ENSG00000152223",2690.47150334747,-1.50606742288839,0.0550770515481427,-27.3447357938531,1.24734727338347e-164,1.36173363815745e-162,"EPG5","57724","ectopic P-granules autophagy protein 5 homolog"
"ENSG00000076641",954.690284174,2.03263249191203,0.0744909394413677,27.2869762034875,6.05497741129868e-164,6.56163655056764e-162,"PAG1","55824","phosphoprotein membrane anchor with glycosphingolipid microdomains 1"
"ENSG00000072041",2369.28278181903,5.09735332203113,0.186814833117031,27.2855920323943,6.28835886240983e-164,6.76480532220409e-162,"SLC6A15","55117","solute carrier family 6 member 15"
"ENSG00000136378",1190.06353560081,2.13136943574248,0.0788327312645652,27.0366052469949,5.48952591821438e-161,5.86265456395967e-159,"ADAMTS7","11173","ADAM metallopeptidase with thrombospondin type 1 motif 7"
"ENSG00000089685",509.548185635596,-3.09766103187188,0.114589407757221,-27.0326995531285,6.10174655940017e-161,6.46960725125466e-159,"BIRC5","332","baculoviral IAP repeat containing 5"
"ENSG00000111206",489.63700653501,-3.02314009582521,0.111928826070384,-27.0094863134201,1.14350008311456e-160,1.20377887321017e-158,"FOXM1","2305","forkhead box M1"
"ENSG00000174574",1409.88985133804,-1.74444146022082,0.064948270806358,-26.8589361743262,6.63283439646322e-159,6.9329583925585e-157,"AKIRIN1","79647","akirin 1"
"ENSG00000167553",3002.80270522025,-1.43654751196295,0.0535105863756498,-26.8460431713127,9.38131807695914e-159,9.73675111395942e-157,"TUBA1C","84790","tubulin alpha 1c"
"ENSG00000075426",1241.54577193998,-2.02417343911852,0.0754066743905767,-26.8434254060072,1.00652684804766e-158,1.03735613192493e-156,"FOSL2","2355","FOS like 2, AP-1 transcription factor subunit"
"ENSG00000113319",1375.65463563177,1.72034861201673,0.0641522054051046,26.8166714012896,2.06537394326914e-158,2.11385285943755e-156,"RASGRF2","5924","Ras protein specific guanine nucleotide releasing factor 2"
"ENSG00000205542",10772.7240037773,-1.36860141667233,0.0510598847630859,-26.8038485206644,2.91413495789898e-158,2.96196696617346e-156,"TMSB4X","7114","thymosin beta 4, X-linked"
"ENSG00000147883",1092.60954361111,2.17982979415754,0.0813913275771738,26.7820891862301,5.22460957013412e-158,5.273992866071e-156,"CDKN2B","1030","cyclin dependent kinase inhibitor 2B"
"ENSG00000119326",1060.1999959954,-2.06902763030849,0.0775868067488361,-26.6672610590398,1.12889473744175e-156,1.13181296873581e-154,"CTNNAL1","8727","catenin alpha like 1"
"ENSG00000100106",1548.43376339178,-1.54579702548511,0.0580504859851679,-26.628494133194,3.17639230194393e-156,3.163085793652e-154,"TRIOBP","11078","TRIO and F-actin binding protein"
"ENSG00000125384",562.779146692896,-2.72049306992143,0.102236933694593,-26.6096895868202,5.24361137494962e-156,5.18660029825553e-154,"PTGER2","5732","prostaglandin E receptor 2"
"ENSG00000125845",1172.2386809597,5.52533661138903,0.207771211150543,26.5933696049238,8.099146713847e-156,7.95768161791181e-154,"BMP2","650","bone morphogenetic protein 2"
"ENSG00000134333",9887.50008844397,-1.01647209042183,0.0383140642283376,-26.5299991241867,4.37007161737095e-155,4.2653056620406e-153,"LDHA","3939","lactate dehydrogenase A"
"ENSG00000157227",22662.7967620428,1.09975936183262,0.0415181810881737,26.4886209609477,1.31082583074918e-154,1.27098362457773e-152,"MMP14","4323","matrix metallopeptidase 14"
"ENSG00000167900",535.537322697115,-2.99316984526988,0.113333403585896,-26.4103057930432,1.04333149000887e-153,1.00500781044122e-151,"TK1","7083","thymidine kinase 1"
"ENSG00000091409",2615.20252718009,-1.34488157108221,0.0509516587753755,-26.3952460706182,1.55364873191225e-153,1.48686201369628e-151,"ITGA6","3655","integrin subunit alpha 6"
"ENSG00000091844",494.500786591075,2.8082146197817,0.106412974069336,26.3897766634351,1.7952857813146e-153,1.70702721580739e-151,"RGS17","26575","regulator of G protein signaling 17"
"ENSG00000169439",2385.18491369971,1.32446365485834,0.0502228276739198,26.3717460007956,2.89072794417257e-153,2.73099669494971e-151,"SDC2","6383","syndecan 2"
"ENSG00000100647",1393.45153066727,1.7199505923064,0.0652353711383444,26.3653070764158,3.42649130669294e-153,3.21653687121278e-151,"SUSD6","9766","sushi domain containing 6"
"ENSG00000139318",1424.14713666972,1.67884326166553,0.0638947460162797,26.2751378843853,3.69005341176493e-152,3.4420257710501e-150,"DUSP6","1848","dual specificity phosphatase 6"
"ENSG00000071127",10996.1867655617,-1.00330193006869,0.0382024985108415,-26.2627306898254,5.11427508766334e-152,4.7405148579863e-150,"WDR1","9948","WD repeat domain 1"
"ENSG00000042062",529.580434708431,3.50771136342452,0.134086229942492,26.1601162545097,7.56115954285179e-151,6.96477308390935e-149,"RIPOR3","140876","RIPOR family member 3"
